Offer #,Campaign,Varietal,Minimum Qty (bottles),Discount (%),Origin,Past Peak,Adams,Allen,Anderson,Bailey,Baker,Barnes,Bell,Bennett,Brooks,Brown,Butler,Campbell,Carter,Clark,Collins,Cook,Cooper,Cox,Cruz,Davis,Diaz,Edwards,Evans,Fisher,Flores,Foster,Garcia,Gomez,Gonzalez,Gray,Green,Gutierrez,Hall,Harris,Hernandez,Hill,Howard,Hughes,Jackson,James,Jenkins,Johnson,Jones,Kelly,King,Lee,Lewis,Long,Lopez,Martin,Martinez,Miller,Mitchell,Moore,Morales,Morgan,Morris,Murphy,Myers,Nelson,Nguyen,Ortiz,Parker,Perez,Perry,Peterson,Phillips,Powell,Price,Ramirez,Reed,Reyes,Richardson,Rivera,Roberts,Robinson,Rodriguez,Rogers,Ross,Russell,Sanchez,Sanders,Scott,Smith,Stewart,Sullivan,Taylor,Thomas,Thompson,Torres,Turner,Walker,Ward,Watson,White,Williams,Wilson,Wood,Wright,Young
1,January,Malbec,6,14.0,France,FALSE,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,
2,January,Pinot Noir,6,4.3,France,FALSE,,,,,,,1,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
3,February,Espumante,12,8.0,Oregon,TRUE,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
4,February,Champagne,6,12.0,France,TRUE,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,1,,1,,,,,,1,
5,February,Cabernet Sauvignon,12,11.0,New Zealand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
6,March,Prosecco,12,21.5,Chile,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,1,,,,,,,,1,1
7,March,Prosecco,1,10.0,Australia,TRUE,,,,1,1,,,,,1,,,1,,,,,,,,1,,,,,,,,,,1,,,1,,,,1,,1,,,,,1,,1,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,1,,,,,,,1,,,,,,
8,March,Espumante,1,11.3,South Africa,FALSE,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,1,,1,,1,,,1,,,,1,,,,,,,,1,1,,,,1,,1,,,1,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,,,,,,1,,,
9,April,Chardonnay,12,14.3,Chile,FALSE,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,1
10,April,Prosecco,6,13.0,California,FALSE,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
11,May,Champagne,6,21.3,France,FALSE,,,,,,,,,1,,,,,1,1,,,,,,,,,1,,,,1,,,,,1,,,,1,,1,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,
12,May,Prosecco,6,20.8,Australia,FALSE,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,May,Merlot,1,10.8,Chile,FALSE,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
14,June,Merlot,6,16.0,Chile,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,1,,,,,,,1,,,1,,
15,June,Cabernet Sauvignon,12,4.8,Italy,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
16,June,Merlot,6,22.0,California,FALSE,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
17,July,Pinot Noir,1,11.8,Germany,FALSE,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,July,Espumante,1,12.5,Oregon,FALSE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,1,,,,,1,,,,,,,1,1,,,,,1,,,,1,,,,
19,July,Champagne,1,16.5,Germany,FALSE,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
20,August,Cabernet Sauvignon,6,20.5,Italy,FALSE,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
21,August,Champagne,1,12.5,California,FALSE,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,
22,August,Champagne,6,15.8,France,FALSE,,,,,,1,,,1,,1,,,,,,,,,1,,,1,1,,1,,,,,,,1,1,,,1,,1,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,,,1,1,,,,1
23,September,Chardonnay,12,9.8,South Africa,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
24,September,Pinot Noir,1,8.5,Italy,FALSE,,,1,,,,1,,,,,1,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
25,October,Cabernet Sauvignon,6,14.8,Oregon,TRUE,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,
26,October,Pinot Noir,12,20.8,Australia,FALSE,,,1,,,,1,,,,,1,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,1,1,1,,,,,,1,,,,,,,,,,,,
27,October,Champagne,6,22.0,New Zealand,FALSE,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,
28,November,Cabernet Sauvignon,1,14.0,France,TRUE,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,November,Pinot Grigio,1,21.8,France,FALSE,1,,,,,,,1,,1,,,1,,,,,,1,,1,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,1,,1,,,,,,
30,December,Malbec,1,13.5,France,FALSE,1,,,1,,,,,,1,1,,1,,1,,,,1,,1,,,1,,,,,,,,,,,,1,,1,,1,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,1,,1,,1,,,,,,1,,1,,,
31,December,Champagne,6,22.3,France,FALSE,,,,,1,1,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,1,1,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,1,,1
32,December,Cabernet Sauvignon,6,11.3,Germany,TRUE,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1